음 식 명,분류,중량,에너지,탄수화물,지방,단백질,나트륨,콜레스테롤,트랜스지방
연포탕,국/죽류,1000,541.19,21.64,9.2,91.65,2307.07,844,0
오리탕,국/죽류,600,480.82,24.16,21.64,43.21,1849.93,161.7,0
추어탕,국/죽류,700,338.67,24.42,11.51,37.37,2077.15,298.48,0
해물탕,국/죽류,600,272.26,19.58,3.38,41.74,2071.99,350.22,0
닭개장,국/죽류,700,317.07,19.18,14.95,33.74,1786.03,96.9,0
육개장,국/죽류,440,137.86,11.62,5.87,13.44,1112.78,24.23,0
뼈해장국,국/죽류,1000,692.93,25.42,37.16,67.92,3192.46,634.2,0
미역오이냉국,국/죽류,450,77.35,19.74,1.35,5.61,1483.6,0,0
고등어찌개,국/죽류,600,605.31,32.03,28.2,59.16,2599.71,206.64,0
꽁치찌개,국/죽류,300,356.63,14.48,20.69,29.51,1296.33,84.48,0
동태찌개,국/죽류,800,369.69,18.94,7.8,59.57,2487.54,292.66,0
부대찌개,국/죽류,600,525.98,46.81,28.48,27.71,2689.19,42.96,0
된장찌개,국/죽류,400,147.06,15.98,5.27,11.71,2021.78,0,0
청국장찌개,국/죽류,400,275.46,14.97,14.43,25.84,1839.75,36,0
두부전골,국/죽류,500,315.11,16.2,19.15,29.15,1651.53,0,0
곱창전골,국/죽류,600,532.65,26.89,34.73,38.35,1750.42,230.7,0
소고기전골,국/죽류,300,203.22,16.55,7.54,19.47,1090.15,31.8,0
국수전골,국/죽류,400,643.16,66.93,22.39,45.29,1524.63,81.6,0
돼지고기김치찌개,국/죽류,400,246.29,9.33,18.26,15.5,1961.48,25.3,0
버섯찌개,국/죽류,400,171.86,15.26,7.52,16.64,1267.81,0,0
참치김치찌개,국/죽류,400,193.58,13.33,10.89,16.86,2604.45,35.44,0
순두부찌개,국/죽류,400,198.47,8.78,14.03,14.72,1331.31,6.6,0
콩비지찌개,국/죽류,400,248.66,24.52,12.81,15.96,1206.33,27.06,0
햄김치찌개,국/죽류,300,190.47,15.44,10.68,11.63,1527.82,23.37,0
호박찌개,국/죽류,300,98.3,12.74,2.34,7.78,1028.15,59.28,0
고추장찌개,국/죽류,500,263.44,20.08,12.35,25.62,935.15,48.15,0
대구찜,생선류,500,372.68,26.43,8.43,54.08,1888.04,196.35,0
도미찜,생선류,100,126.31,0.76,3.68,21.01,882.04,191.25,0
문어숙회,생선류,80,67.49,0.18,0.73,14.14,222.83,116.74,0
아귀찜,생선류,400,310.7,17.59,6.68,48.85,1463.31,187.42,0
조기찜,생선류,100,185.25,1.81,9.2,22.27,631.89,105.74,0
참꼬막,생선류,80,89.77,4.92,2.17,12.98,400.23,46.99,0
해물찜,생선류,500,397.38,36.02,8.94,50.28,2213.44,323.98,0
소갈비찜,육류,250,500.45,11.31,29.17,42.55,768.42,141.83,0
돼지갈비찜,육류,170.1,249.7,8.82,14.42,20.57,946.68,70.38,0
돼지고기수육,육류,300,1218.19,8.69,99.52,61.47,389.53,191.4,0
찜닭,육류,1500,1358.38,140.64,36.54,114.9,5290.09,341.64,0
족발,육류,150,381.57,32.3,16.62,26.02,839.14,98,0
달걀찜,육류,250,190,4.81,10.91,16.2,860.32,634.57,0
닭갈비,육류,300,562.1,24.54,28.89,52.3,975.55,224.1,0
닭꼬치,육류,70,177.51,12.9,7.9,12.35,287.26,47.6,0
돼지갈비,육류,100,248.52,7.6,14.7,19.95,344.89,72.04,0
떡갈비,육류,250,762.99,26.61,51.58,43.09,838.84,157.5,0
불고기,육류,150,386.79,13.05,21.78,32.9,632.54,106.22,0
소곱창구이,육류,150,639.11,6.51,51.71,35.62,332.72,652.5,0
소양념갈비구이,육류,300,986.92,27.74,66.48,61.97,1272.34,220.96,0
소불고기,육류,200,174.73,19.63,4.68,14.22,828.15,27.93,0
양념왕갈비,육류,150,485.51,15.04,33.71,29.33,533.19,103.5,0
햄버거스테이크,육류,200,436.75,21.35,28.05,24.92,920.26,75.78,0
훈제오리,육류,250,789.96,11.83,64.65,38.16,1216.98,200.25,0
치킨데리야끼,육류,340,692.52,50.73,32.19,47.34,865.98,171.25,0
치킨윙,육류,100,219.42,9.97,14.23,11.41,351.39,66,0
더덕구이,반찬류,100,183.74,31.78,5.62,5.8,745.78,0,0
양배추구이,반찬류,100,60.93,7.62,2.65,2.71,242.34,5.5,0
두부구이,반찬류,100,90.67,1.53,6.27,9.41,164.39,0,0
삼치구이,생선류,200,355.71,8.48,18.01,37.83,797.71,156.87,0
가자미전,생선류,150,220.46,6.68,7.12,29.97,814.37,226.88,0
굴전,생선류,100,192.81,13.92,9.07,12.56,331.02,123,0
동태전,생선류,150,265.25,11.48,16.14,19.87,672.98,134.56,0
해물파전,반찬류,150,267.23,27.68,12.57,12.94,356.43,96.84,0
동그랑땡,반찬류,150,312.41,14.71,18.72,19.67,579.81,184.28,0
햄부침,반찬류,100,232.6,9.73,15.48,13.07,774.68,52.15,0
육전,반찬류,100,197.1,6.72,9.51,19.58,248.68,91.5,0
감자전,반찬류,200,366.16,53.81,13.61,9.67,456.53,0,0
고추전,반찬류,150,261.44,17.78,14.86,13.94,359.88,160.65,0
