음 식 명,분류,중량,에너지,탄수화물,지방,단백질,나트륨,콜레스테롤,트랜스지방
단무지무침,반찬류,50,19.19,3.22,0.91,0.47,447.86,0,0
달래나물무침,반찬류,150,132.69,25.26,3.3,4.77,852.99,0,0
더덕무침,반찬류,150,220.89,48.44,2.74,4.89,1203.58,0,0
도라지생채,반찬류,150,165.23,38.59,1.71,4.15,789.08,0,0
도토리묵,반찬류,100,43.05,9.87,0.35,0.4,116.47,0,0
마늘쫑무침,반찬류,30,38.12,9.35,0.28,0.98,423.46,0,0
무생채,반찬류,150,73.68,16,1.28,2.63,832.19,1.68,0
무말랭이,반찬류,30,39.89,9.63,0.34,1.36,378.78,0.04,0
오이생채,반찬류,50,23.36,4.63,0.5,0.89,269.31,0,0
파무침,반찬류,150,124.3,19.47,5.41,3.82,693.83,10.05,0
상추겉절이,반찬류,200,130.62,17.99,6.25,5.65,952.32,5.36,0
쑥갓나물무침,반찬류,150,94.86,8.78,6.51,5.49,700.12,0,0
청포묵무침,반찬류,250,157.61,19.68,4.23,2.96,756.74,2.35,0
해파리냉채,반찬류,150,87.29,13.83,1.55,6.63,490.13,17.63,0
가지나물,반찬류,50,21.87,3.03,1.27,0.73,159.17,0,0
고사리나물,반찬류,50,43.51,3.8,3.26,1.97,251.53,0,0
도라지나물,반찬류,50,54.68,5.34,3.82,0.67,256.67,0,0
무나물,반찬류,50,34.58,3.04,2.56,0.58,293.52,0,0
미나리나물,반찬류,50,28.34,2.56,2.14,0.99,165.52,0,0
숙주나물,반찬류,50,19.51,1.56,1.35,1.31,186.73,0,0
시금치나물,반찬류,50,37.51,3.82,2.37,2.07,217.26,0,0
취나물,반찬류,50,72.94,3.46,6.71,1.6,288.65,0,0
콩나물,반찬류,50,24.13,1.15,1.98,1.64,203.5,0,0
고구마줄기나물,반찬류,50,30.44,2.97,2.24,0.63,255.71,0,0
우거지나물무침,반찬류,150,126.11,10.28,8.66,5.08,774.55,0,0
골뱅이무침,반찬류,100,107.35,15.56,2.3,7.91,515.92,45.56,0
김무침,반찬류,30,81.01,12.19,4.12,4.71,498.63,0,0
미역초무침,반찬류,50,24.94,5.7,0.54,1.07,285.8,0,0
북어채무침,반찬류,150,332.05,31.33,5.8,37.37,1048.53,108.57,0
회무침,반찬류,300,311.59,42.88,4.26,27.18,1253.25,61.38,0
쥐치채,반찬류,20,53.39,10.18,0.2,2.77,289.45,5.93,0
파래무침,반찬류,30,31.59,5.43,0.69,2.34,252.05,0,0
홍어무침,반찬류,200,193.14,24.9,2.27,21.64,817.42,79.2,0
골뱅이국수무침,반찬류,230,256.42,39.63,7.01,10.52,911.74,39.98,0
오징어무침,반찬류,200,249.53,13.55,4.19,38.67,682.39,430.92,0
잡채,반찬류,150,198.82,37.47,4.7,2.59,664.75,14.25,0
탕평채,반찬류,100,101.19,10.2,3.11,3.53,247.42,4.95,0
갓김치,반찬류,50,27.64,5.21,0.7,1.98,447.77,3.51,0
고들빼기,반찬류,50,55.39,11.99,0.56,2.21,733.75,0.55,0
깍두기,반찬류,50,17.99,3.95,0.23,1,338.88,4.07,0
깻잎김치,반찬류,150,124.49,23.27,3.16,6.1,1907.64,29.66,0
나박김치,반찬류,100,14.75,2.26,0.42,0.63,509.47,0,0
동치미,반찬류,400,57.69,14.26,0.64,2.7,2313.58,0,0
배추겉절이,반찬류,50,21.24,4.48,0.5,0.94,325.41,1.34,0
배추김치,반찬류,50,18.43,4.16,0.3,1.15,309.53,3.41,0
백김치,반찬류,50,19.8,4.38,0.26,0.8,211.72,0.04,0
부추김치,반찬류,50,32.91,6.29,0.57,1.88,399.38,0,0
열무김치,반찬류,50,16.29,3.16,0.35,1.34,308.35,0,0
열무얼갈이김치,반찬류,50,16.57,3.03,0.4,1.27,344.2,4.2,0
오이소박이,반찬류,50,16.67,2.96,0.53,0.94,276.19,1.45,0
총각김치,반찬류,50,17.56,3.44,0.37,1.03,347.17,4.43,0
파김치,반찬류,50,28.01,5.47,0.7,1.55,395.87,4.69,0
간장게장,반찬류,250,292.7,13.89,2.09,32.67,3075.53,223.13,0
마늘쫑장아찌,반찬류,50,28.27,6.19,0.13,1.05,778.6,0,0
고추장아찌,반찬류,30,22.36,4.18,0.09,0.8,787.3,0,0
